id,account_id,name,type,status,subject,from_name,from_email,created_at,scheduled_for,sent_at,finished_at,emails_sent,emails_delivered,opens_count,opens_rate,unique_opens_count,unique_opens_rate,clicks_count,clicks_rate,unique_clicks_count,unique_clicks_rate,unsubscribes_count,unsubscribes_rate,spam_count,spam_rate,hard_bounces_count,hard_bounces_rate,soft_bounces_count,soft_bounces_rate,forwards_count
180299920955147345,1999966,Copy of Mail 2 - Webinar februari 2026,regular,sent,Hoe presteert jouw storingsdienst echt?,Arthur Gartz | Notifica,arthur@notifica.nl,2026-02-24 15:36:43,2026-02-24 15:45:44,,2026-02-24 15:46:55,957,,390,0.40752351097179,,,44,0.045977011494253,,,42,0.043887147335423,0,0,278,0.29049111807732,142,0.14838035527691,0
179910748470773592,1999966,Mail 2 - Webinar februari 2026,regular,sent,Hoe presteert jouw storingsdienst echt?,Arthur Gartz | Notifica,arthur@notifica.nl,2026-02-20 08:31:00,2026-02-24 09:34:51,,2026-02-24 09:35:56,1778,,913,0.51349831271091,,,38,0.021372328458943,,,19,0.010686164229471,0,0,7,0.0039370078740157,22,0.012373453318335,0
179916183790683801,1999966,Mail 1 - Webinar februari 2026,regular,sent,Inzicht in uitvoering reactieve storingen,Tobias Boog,tobias@notifica.nl,2026-02-20 09:57:23,2026-02-20 10:10:24,,2026-02-20 10:12:00,1791,,747,0.41708542713568,,,47,0.026242322724735,,,25,0.013958682300391,0,0,3,0.0016750418760469,30,0.016750418760469,0
179872685365397473,1999966,Mail 1 - Webinar februari 2026,regular,sent,Inzicht in uitvoering reactieve storingen,Notifica,tobias@notifica.nl,2026-02-19 22:26:00,2026-02-20 09:53:07,,2026-02-20 09:54:47,4,,4,1,,,1,0.25,,,0,0,0,0,0,0,0,0,0
179282296100095068,1999966,Nieuwsbrief februari 2026,regular,sent,Meer grip op je organisatie met onze dashboards voor installatiebedrijven,Notifica,tobias@notifica.nl,2026-02-13 10:02:01,2026-02-17 09:26:30,,2026-02-17 09:28:16,1910,,829,0.43403141361257,,,39,0.020418848167539,,,13,0.0068062827225131,0,0,108,0.056544502617801,19,0.0099476439790576,0
178926873526405063,1999966,Opzet Nieuwsbrief februari 2026,regular,sent,Meer grip op je organisatie met onze dashboards voor installatiebedrijven,Notifica,tobias@notifica.nl,2026-02-09 11:52:43,2026-02-13 09:47:38,,2026-02-13 09:48:47,5,,5,1,,,1,0.2,,,0,0,0,0,0,0,0,0,0
177104566989358687,1999966,Nieuwsbrief januari 2026,regular,sent,Waar zit het verdienpotentieel van jouw installatiebedrijf in 2026,Notifica,tobias@notifica.nl,2026-01-20 09:07:56,2026-01-20 09:26:29,,2026-01-20 09:28:07,2101,,931,0.44312232270347,,,57,0.027129938124703,,,43,0.020466444550214,0,0,78,0.037125178486435,128,0.060923369823893,0
177035075352790980,1999966,Nieuwsbrief januari 2026 - test 3,regular,sent,Waar zit het verdienpotentieel van jouw installatiebedrijf in 2026,Notifica,tobias@notifica.nl,2026-01-19 14:43:24,2026-01-20 08:37:19,,2026-01-20 08:38:45,2,,2,1,,,2,1,,,0,0,0,0,0,0,0,0,0
177022767063893605,1999966,Nieuwsbrief januari 2026 - test 2,regular,sent,Waar zit het verdienpotentieel van jouw installatiebedrijf in 2026,Notifica,tobias@notifica.nl,2026-01-19 11:27:46,2026-01-19 11:33:56,,2026-01-19 11:34:49,5,,5,1,,,2,0.4,,,0,0,0,0,0,0,0,0,0
176123271732791016,1999966,Nieuwsbrief januari 2026,regular,sent,Waar zit het verdienpotentieel van jouw installatiebedrijf in 2026,Notifica,tobias@notifica.nl,2026-01-09 13:10:40,2026-01-16 14:49:38,,2026-01-16 14:50:51,5,,5,1,,,1,0.2,,,0,0,0,0,0,0,0,0,0
176763250861409341,1999966,Copy of Untitled campaign - 2026-01-09,regular,draft,,Notifica,tobias@notifica.nl,2026-01-16 14:42:52,,,,,,,,,,,,,,,,,,,,,,
